代碼,名稱,收盤,漲幅%,RSI,K,量比,收盤位置%,策略數,策略
4113,聯上,16.95,-0.29,24.7,18.3,1.22,94.4,1,📈KD低檔金叉
4174,浩鼎,39.0,2.77,46.4,28.1,1.16,83.3,1,📈KD低檔金叉
5340,建榮,109.5,8.42,43.7,34.5,1.15,84.2,1,📈KD低檔金叉
6291,沛亨,376.0,6.52,57.2,71.4,1.12,89.2,1,📊均線多頭排列
3587,閎康,236.5,4.19,66.3,61.9,1.1,92.9,1,🔥MACD雙共振
4577,達航科技,106.0,-0.93,57.0,55.1,1.1,34.8,1,📊均線多頭排列
4958,臻鼎-KY,225.0,5.39,62.7,71.1,1.04,44.4,1,📊均線多頭排列
3402,漢科,119.0,3.48,37.3,20.0,1.03,90.9,1,📈KD低檔金叉
2489,瑞軒,35.4,9.94,40.3,22.9,1.0,100.0,1,📈KD低檔金叉
3176,基亞,32.95,2.65,63.5,46.7,1.0,42.4,1,🔥MACD雙共振
8021,尖點,266.5,9.9,59.6,59.1,0.96,100.0,1,📊均線多頭排列
6442,光聖,2095.0,4.75,62.6,62.9,0.95,43.5,1,📊均線多頭排列
2313,華通,275.0,5.77,66.5,81.1,0.93,67.5,1,📊均線多頭排列
2801,彰銀,20.8,1.46,54.2,65.0,0.9,100.0,1,🔥MACD雙共振
1301,台塑,47.5,3.49,52.0,35.4,0.87,56.1,1,📈KD低檔金叉
6568,宏觀,223.5,5.18,57.0,69.0,0.87,88.5,1,📊均線多頭排列
6725,矽科宏晟,267.0,1.91,65.3,48.1,0.87,23.5,1,🔥MACD雙共振
3583,辛耘,507.0,9.98,74.6,68.2,0.86,100.0,1,🔥MACD雙共振
4130,健亞,34.7,1.91,50.4,75.7,0.86,77.8,1,🔥MACD雙共振
1528,恩德,26.85,5.5,65.4,72.1,0.85,74.4,1,🔥MACD雙共振
2542,興富發,35.65,1.86,40.5,25.0,0.83,81.3,1,📈KD低檔金叉
5243,乙盛-KY,94.1,0.43,81.5,82.1,0.83,24.7,1,🔥MACD雙共振
6257,矽格,155.0,2.65,71.9,77.2,0.83,25.0,1,📊均線多頭排列
8027,鈦昇,151.5,-1.94,76.2,90.9,0.83,37.5,1,📊均線多頭排列
2897,王道銀行,10.05,0.0,60.4,69.3,0.81,0.0,1,📊均線多頭排列
3044,健鼎,357.0,3.03,47.9,30.4,0.81,36.0,1,📈KD低檔金叉
6877,鏵友益,119.0,2.15,50.8,57.5,0.81,35.7,1,📊均線多頭排列
2855,統一證,32.35,1.25,57.4,51.4,0.8,50.0,1,📊均線多頭排列
6672,騰輝電子-KY,129.0,-0.39,75.2,75.6,0.8,0.0,1,📊均線多頭排列
2547,日勝生,10.7,1.42,36.4,11.4,0.76,66.7,1,📈KD低檔金叉
6831,邁科,393.0,1.68,66.7,80.7,0.76,41.5,1,📊均線多頭排列
1102,亞泥,35.5,0.71,59.3,81.1,0.75,64.3,1,🐢海龜突破
2404,漢唐,855.0,3.14,31.3,10.1,0.75,60.5,1,📈KD低檔金叉
2467,志聖,408.5,4.21,58.7,64.4,0.74,62.0,1,📊均線多頭排列
3045,台灣大,109.5,0.0,63.6,80.2,0.74,100.0,1,📊均線多頭排列
